sentiments,sentences
-1,I can't understand the method of teaching
1,The instructor was interested in the students and their progress.
-1,The instructor don't use any examples for explaination.
0,Teaching is good but always late to class
-1,Explaination is poor
-1,The teaching is slow. They stretch the same thing for a long time. That the students lose interest.
-1,Very poor
0,Content dellivery is not good
-1,Bad
1,The instructor showed familiarity with the course material.
1,Excellent
-1,Too fast
1,Explaination is very good
1,Remarkable
1,Right on target
1,Excellent
1,Extraordinary
1,Fine teaching
1,Teachers are very professional
1,Proper teaching is done
1,"very helpful.When you have a problem, they are always ready to help you."
-1,Cooperation needed with students
0,Teacher can improve
1,Cooperative nature of teachers makes it easier for better learning
-1,More hard work required
1,The instructor made good use of examples and illustrations
-1,Not good
0,Teachers are highly qualified but they should devote more time to students
1,The instructor Always made sure everyone understand explanations 
1,The instructor was available for individual discussion.
1,Interactive lectures are conducted by staff.
-1,They need to develop a friendly nature towards learners.
-1,The instructor was  not available for individual discussion
1,Precise lecture notes and interesting contents.
1,All teachers are really well experienced and resourceful
1,Good 
-1,Not on time
1,Presentation skills are well.
1,Teachers are ready to teach students not only in classes but available to clear doubts in their free time
1,Well understandable concepts
1,Well planned and timely teaching is carried .
0,average
1,The teacher interacted with whole class .
-1, the teachers prepare for the classes are very poorly
-1,very bad
-1,Teacher has less knowledge of their own subject.
1,Very creative lectures 
1,Good teaching techniques 
1,This is a magnificent academy with excelllent teachers
1,Nice teaching
1,teaching is good
-1,not good
0,not too good
-1,teaching is not good
1,very good
0,points are not understandable
-1,hard to understand
-1,Slow voice so it's not that audible
1,Good
-1,Not gud behavior
1,Excellent explaination 
1,Well planned and nice skillssss
-1,very bad and hard to understand
1,Quite impressive teaching
0,Gud but Not much satisfied 
-1,More Hard work required regarding concepts clearing
1,Awesome teaching skills
1,Low voice
0,teaching  is neutral
1,teaching is good
-1,very bad teaching
1,teaching is excellent
-1,is not good
0,teaching is understandable
1,Teacher was good.
0,Explains well but unable to write content on blackboard
1,Easily available and understandable notes
1,Not only taught as per syllabus but extra knowledge shared too
1,Always willing to explain
1,Easy to learn and make notes 
1,Gr8 lecturers with perfect knowledge
1,Many ideas are shared for logic development
1,Noteworthy lectures and can't forget those days
1,"Good reasoning sessions,very helpful"
1,Always well prepared
-1,Efforts needed in presentation skills
1,Staff have many ways to explain  so it's easy to understand
1,Well teaching 
1,Enthusiastic teacher
1,Quite punctual
1,Happy with teaching stuff.....
-1,Excellence in performing is required
1,Hard working staff
-1,not
0,Average in explanation
1,teaching is very good
1,Great jobbbb
0,expectations not fulfilled
1,Best technical knowledge
0,teaching is not good
1,Amazing ways to learn & explore 
1,Well versed and experience is gud
0,Okay but can change some ways to teachh
1,excellent teaching
0,required points are covered
1,excellent teaching provided
0,not understandable
-1,very bad
-1,poor teaching
-1,teaching is not good
1,Well prepared teachers
0,Concept wise okay
0,Can be more interactive
1,Fine 
-1,Handwriting can't be understood
-1,Worst concepts
0,good but skills can be improved in pronunciation
-1,needs to improve a lot
1,Excellent teaching
1,My goodness how impressive!!
0,can improve the way of explanation
1,awesome teachers
-1,technologywise improvement must happen
1,Dedicated score
1,Best in the world
0,teaching is  good but
1,Very funny person 
-1,not good
1,excellent
1,Awesom
1,Having fun to learn new things
1,Strong points and fair enough as per exms
-1,Hard work regarding notes isn't that up to mark
1,Teachers are very helpful anytime and any day always !!!
1,Very nice technique and quality experience
0,Well satisfied as per our results but can do much better regarding explanation
-1,Can't handle the class full of too many students
-1,Really bad explaination
-1,Weak communication skill
-1,Can't interact that nicely with students
-1,Weak in programming concepts
-1,Only teach in short 
-1,No knowledge of curriculum
-1,Concepts arent cleared not the doubts
-1,Imperfect english language
0,Good but we won't understand the newly topics so well
-1,Electronic concept aren't cleared 
-1,Maths part isn't well explained
0,Happy yet not satisfied teaching techniques
0,Maths is best explained but some sums are difficult for them to explain
1,Poetical way of explaining is best
-1,Peer tutoring isn't that good method
0,Okay but not as per the curriculum mentioned
-1,Continue scolding won't help
-1,Not helpful notes at all
-1,Not clearing my doubts n ignoring
-1,Voice not audible
0,good but needs to be improved
-1,Poor
-1,Teaching is not good
0,Communication is not good but teaching is good
-1,Not good
0,Teaching is poor but communicates very well
-1,Teaching is poor
-1,his teaching  skills needed to be better
-1,teaching is good but voice is not audible
-1,The lecturer not very well explained the topic. 
-1,The lectures are not very interesting and make me eager to listen to them. 
-1,not good
-1,not understandable
-1,"The lecturer not makes the lectures quite interesting and attractive and the
exercise class is not very useful”"
-1,unable to understand
-1,very tough to understand
1, not good
1,good enough and understandable
-1,teaching is good
-1,worst
1,not too good
-1,very bad
0,understandable
1,Teaching not good
-1,Teaching good but get diverted with phone call
-1,Teaching is poor
-1,Voice is not audible
-1,Lacks in communication
-1,Not good
-1, improvement needed
-1,Irresponsible teachers
